Date,hour,temp
2023-01-01,0,53.75
2023-01-01,1,53
2023-01-01,2,52
2023-01-01,3,53
2023-01-01,4,52
2023-01-01,5,51
2023-01-01,6,51
2023-01-01,7,50
2023-01-01,8,50
2023-01-01,9,52
2023-01-01,10,53
2023-01-01,11,52
2023-01-01,12,53
2023-01-01,13,54
2023-01-01,14,53
2023-01-01,15,53
2023-01-01,16,53
2023-01-01,17,51
2023-01-01,18,50
2023-01-01,19,51
2023-01-01,20,51
2023-01-01,21,51
2023-01-01,22,51
2023-01-01,23,50
2023-01-02,0,50
2023-01-02,1,51
2023-01-02,2,50
2023-01-02,3,50
2023-01-02,4,50
2023-01-02,5,50
2023-01-02,6,50
2023-01-02,7,49
2023-01-02,8,50
2023-01-02,9,50
2023-01-02,10,51
2023-01-02,11,53
2023-01-02,12,55
2023-01-02,13,56
2023-01-02,14,56
2023-01-02,15,56
2023-01-02,16,55
2023-01-02,17,55
2023-01-02,18,56
2023-01-02,19,55
2023-01-02,20,54.5
2023-01-02,21,53
2023-01-02,22,52
2023-01-02,23,52
2023-01-03,0,53
2023-01-03,1,52
2023-01-03,2,51
2023-01-03,3,50
2023-01-03,4,50
2023-01-03,5,49
2023-01-03,6,48.5
2023-01-03,7,47
2023-01-03,8,48.333333333333336
2023-01-03,9,50
2023-01-03,10,49.25
2023-01-03,11,48.333333333333336
2023-01-03,12,49.75
2023-01-03,13,51.5
2023-01-03,14,54
2023-01-03,15,55
2023-01-03,16,55.5
2023-01-03,17,56.5
2023-01-03,18,56
2023-01-03,19,56.5
2023-01-03,20,57
2023-01-03,21,54
2023-01-03,22,55
2023-01-03,23,57
2023-01-04,0,57
2023-01-04,1,59
2023-01-04,2,58.5
2023-01-04,3,58.25
2023-01-04,4,58
2023-01-04,5,57
2023-01-04,6,58
2023-01-04,7,56
2023-01-04,8,59
2023-01-04,9,61
2023-01-04,10,62
2023-01-04,11,63
2023-01-04,12,66
2023-01-04,13,65
2023-01-04,14,65
2023-01-04,15,63
2023-01-04,16,60
2023-01-04,17,58
2023-01-04,18,57
2023-01-04,19,56
2023-01-04,20,54
2023-01-04,21,52.666666666666664
2023-01-04,22,50
2023-01-04,23,49
2023-01-05,0,48
2023-01-05,1,48
2023-01-05,2,48
2023-01-05,3,48
2023-01-05,4,49
2023-01-05,5,48.333333333333336
2023-01-05,6,49
2023-01-05,7,48.5
2023-01-05,8,49
2023-01-05,9,48
2023-01-05,10,49
2023-01-05,11,49
2023-01-05,12,48
2023-01-05,13,50
2023-01-05,14,49
2023-01-05,15,48
2023-01-05,16,47
2023-01-05,17,47
2023-01-05,18,47
2023-01-05,19,47
2023-01-05,20,47
2023-01-05,21,46
2023-01-05,22,45
2023-01-05,23,44.75
2023-01-06,0,45
2023-01-06,1,45
2023-01-06,2,44
2023-01-06,3,43.25
2023-01-06,4,43
2023-01-06,5,42
2023-01-06,6,43
2023-01-06,7,44.5
2023-01-06,8,44
2023-01-06,9,44.25
2023-01-06,10,44.5
2023-01-06,11,45
2023-01-06,12,47
2023-01-06,13,48
2023-01-06,14,47
2023-01-06,15,48
